"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"2025","Core",15,"parasites",0.405154469654611,0.0581482235290647,0.3691387735569,3.05977011494253,0.25,0.5,0.143521120669446
"2026","Core",16,"hosts",0.345589393234662,0.083518932549241,0.444280195225958,2.21288515406162,0.25,0.5,0.241670995071686
"2027","Core",16,"parasites",0.367021364734967,0.0742031301115196,0.33967164670805,8.92291666666667,0.25,0.5,0.202176595809628
"2028","Core",17,"hosts",0.374729977351309,0.0592689748713953,0.514392890187697,3.38702460850112,0.25,0.5,0.158164487640739
"2029","Core",17,"parasites",0.339518415010738,0.0676537959960092,0.469454429586587,4.34157303370787,0.25,0.5,0.19926399572132
"2030","Core",18,"hosts",0.211828874765524,0.0567034468619439,0.713039620748545,0.935483870967742,0.25,0.5,0.26768516296331
"2031","Core",18,"parasites",0.384861307083599,0.0478345133090963,0.744691948813652,1,0.25,0.5,0.124290263605808
"2032","Core",19,"hosts",0.343755817331749,0.0647181893743541,0.682186507523101,0.640127388535032,0.25,0.5,0.188267910276254
"2033","Core",19,"parasites",0.30946782122638,0.062393049295586,0.651080580271285,2.50904392764858,0.25,0.5,0.201614012882924
"2034","Core",20,"hosts",0.217930327948912,0.0471987832623835,0.171659282546501,5.39117647058824,0.25,0.5,0.216577397494891
"2035","Core",21,"hosts",0.343947064457766,0.0502061477570768,0.116176068759841,9.0352644836272,0.25,0.5,0.145970566244626
"2036","Core",21,"parasites",0.376349014464276,0.0725168952614749,0.40223797798608,5.11160714285714,0.25,0.5,0.192685226942074
"2037","Core",22,"hosts",0.277221637969413,0.0628119163218233,0.389511559470473,4.45212765957447,0.25,0.5,0.226576528376019
"2038","Core",22,"parasites",0.312305629991608,0.0525991364646385,0.829893584069142,1.4041095890411,0.25,0.5,0.168421992475934
"2039","Core",23,"hosts",0.375522821766363,0.0489922269989208,0.150802718171228,12.8729016786571,0.25,0.5,0.130464046814716
"2040","Core",23,"parasites",0.200412671911757,0.0465280168006369,0.531008874375371,1,0.25,0.5,0.232161052276792
"2041","Core",24,"hosts",0.17057329203173,0.0375904071298309,0.207435297549164,7.56551724137931,0.25,0.5,0.220376863705241
"2042","Core",25,"hosts",0.383037068984241,0.0501820757295819,0.593406108382161,0.960893854748603,0.25,0.5,0.13101101640804
"2043","Core",25,"parasites",0.304411615603924,0.0699348379578484,0.439033242005965,2.056,0.25,0.5,0.229737744465185
"2044","Core",26,"hosts",0.358278393470778,0.0612778028353921,0.374677242767778,1.99017199017199,0.25,0.5,0.171034044899473
"2045","Core",26,"parasites",0.389906034882566,0.0574878996033561,0.536702663638061,2.61722488038277,0.25,0.5,0.147440394506001
